order_id,city,order_date,order_time,delivery_partner,distance_km,prep_time_min,estimated_eta_min,actual_delivery_time_min,on_time,cancelled,cancellation_reason,order_value,delivery_fee,customer_rating,payment_method,restaurant_category,weather,peak_hour
29,Lucknow,7/10/2025,1:44 PM,DP033,15.38,15,50,38,false,false,Restaurant,1068.4,48.85,4.1,Card,Dairy,Clear,true
30,Delhi,3/21/2025,2:27 PM,DP042,27.52,59,45,14,true,true,Rider,599.98,31.08,1.4,Card,Grocery,Rainy,true
31,Kolkata,4/22/2025,12:44 PM,DP022,13.07,30,13,19,true,false,Rider,236.06,63.51,2.4,UPI,Grocery,Rainy,true
32,Kolkata,5/16/2025,5:45 PM,DP006,16.56,19,25,68,true,false,Weather,643.99,46.32,1.2,Card,Grocery,Clear,false
33,Lucknow,1/9/2025,3:18 AM,DP040,24.8,35,18,13,false,true,Rider,470.98,29.29,4.9,Cash,Grocery,Rainy,false
34,Ahmedabad,1/7/2025,3:25 PM,DP027,29.69,38,19,68,false,true,Rider,342.22,35.75,4.1,Card,Snacks,Rainy,true
35,Ahmedabad,12/12/2025,12:24 AM,DP046,3.76,28,26,30,false,true,Customer,501.07,26.0,3.4,Cash,Pharmacy,Rainy,false
36,Bengaluru,1/30/2025,11:45 AM,DP044,9.59,0,22,68,false,true,Customer,898.21,50.73,1.1,UPI,Pharmacy,Rainy,false
37,Jaipur,10/3/2025,6:04 PM,DP013,9.12,20,58,63,true,false,Rider,549.12,45.38,4.3,Cash,Grocery,Clear,false
38,Chennai,7/1/2025,1:45 PM,DP025,3.16,6,16,17,true,true,Rider,641.72,34.92,2.3,Cash,Pharmacy,Rainy,false
39,Mumbai,3/3/2025,5:16 AM,DP027,23.39,8,53,39,true,true,Customer,1413.3,49.22,1.0,Cash,Snacks,Rainy,true
40,Pune,3/5/2025,12:01 PM,DP037,24.73,46,45,30,false,false,Customer,246.65,50.38,2.6,Cash,Snacks,Clear,true
41,Delhi,8/14/2025,6:53 AM,DP013,5.47,13,45,42,false,true,Weather,915.91,48.01,1.6,Cash,Snacks,Clear,false
42,Lucknow,8/11/2025,3:17 AM,DP005,14.76,42,41,22,false,true,Weather,671.73,17.23,3.1,Cash,Pharmacy,Rainy,true
43,Lucknow,8/1/2025,11:22 AM,DP030,27.9,3,26,34,false,true,Restaurant,263.78,27.03,5.0,UPI,Dairy,Clear,false
44,Hyderabad,2/5/2025,10:10 PM,DP012,1.85,33,24,39,true,false,Restaurant,624.03,77.09,4.3,UPI,Pharmacy,Clear,true
45,Pune,12/18/2025,1:30 PM,DP020,2.44,42,57,48,false,true,Customer,1372.5,34.65,3.0,Card,Snacks,Rainy,false
46,Bengaluru,3/22/2025,1:14 PM,DP049,12.64,32,29,51,false,true,Weather,845.42,12.61,1.3,Card,Dairy,Rainy,false
47,Hyderabad,3/2/2025,3:16 AM,DP018,11.98,53,48,18,true,true,Rider,515.2,42.05,1.3,Cash,Snacks,Rainy,false
48,Kolkata,4/23/2025,2:31 PM,DP027,24.35,40,48,26,false,true,Restaurant,238.43,38.98,3.5,UPI,Dairy,Clear,true
49,Bengaluru,3/25/2025,9:36 PM,DP039,25.31,1,36,58,true,true,Rider,444.71,23.57,3.6,Card,Pharmacy,Rainy,true
50,Pune,6/26/2025,1:12 PM,DP046,28.51,8,26,29,true,true,Customer,1415.17,78.67,4.9,UPI,Pharmacy,Rainy,false
51,Jaipur,4/21/2025,2:23 AM,DP022,6.56,45,18,31,true,true,Rider,472.44,52.98,3.2,Card,Pharmacy,Clear,false
52,Hyderabad,6/7/2025,12:27 PM,DP015,13.85,51,54,22,false,true,Restaurant,706.49,38.16,4.2,Card,Snacks,Rainy,true
53,Hyderabad,6/19/2025,5:19 PM,DP047,16.19,47,14,71,true,true,Customer,328.46,35.85,2.8,Cash,Bakery,Clear,true
54,Kolkata,5/1/2025,4:13 AM,DP048,25.04,29,29,84,true,true,Weather,253.22,76.55,4.4,Cash,Snacks,Clear,false
55,Delhi,1/16/2025,2:27 PM,DP010,22.4,33,17,58,false,false,Customer,165.93,70.11,3.6,Card,Pharmacy,Clear,false
56,Chennai,1/18/2025,12:51 AM,DP033,22.25,25,36,14,true,true,Restaurant,377.2,77.85,2.0,UPI,Grocery,Clear,true
57,Lucknow,8/12/2025,9:18 AM,DP001,26.86,6,40,74,false,false,Rider,733.89,56.54,3.9,Cash,Dairy,Rainy,false
58,Bengaluru,12/6/2025,4:05 PM,DP041,6.64,3,51,75,false,true,Weather,512.74,65.32,2.0,Card,Bakery,Clear,true
59,Hyderabad,11/7/2025,8:21 AM,DP048,14.3,0,58,26,true,true,Rider,157.47,70.17,3.3,Cash,Snacks,Rainy,false
60,Ahmedabad,11/15/2025,8:00 PM,DP021,22.55,3,12,61,true,true,Restaurant,737.86,28.27,4.6,UPI,Pharmacy,Rainy,true
61,Bengaluru,4/18/2025,6:47 AM,DP002,19.53,30,10,29,true,false,Customer,1179.29,52.7,4.7,Card,Grocery,Clear,true
62,Pune,10/15/2025,2:25 PM,DP050,23.32,14,58,37,false,false,Weather,579.0,59.21,3.9,UPI,Grocery,Clear,true
63,Mumbai,7/17/2025,5:13 PM,DP005,20.94,14,54,82,true,false,Rider,893.94,16.77,3.8,Cash,Snacks,Clear,true
64,Kolkata,11/22/2025,1:14 PM,DP043,5.42,6,53,61,false,false,Weather,717.65,45.5,1.9,UPI,Snacks,Rainy,false
65,Bengaluru,9/6/2025,9:01 PM,DP007,22.16,25,56,87,true,true,Restaurant,982.69,26.26,5.0,Cash,Grocery,Rainy,true
66,Chennai,10/27/2025,8:39 AM,DP004,14.29,49,59,62,false,false,Customer,199.88,63.2,2.5,Cash,Pharmacy,Rainy,true
67,Bengaluru,1/21/2025,12:22 PM,DP046,1.24,31,27,52,false,true,Rider,1488.76,46.02,2.7,UPI,Grocery,Rainy,false
68,Hyderabad,3/29/2025,8:32 PM,DP025,1.15,1,21,82,true,false,Weather,1143.02,70.29,4.1,UPI,Dairy,Rainy,true
69,Lucknow,7/12/2025,8:48 PM,DP044,23.74,6,14,69,false,true,Rider,447.16,57.94,3.2,UPI,Pharmacy,Clear,true
70,Ahmedabad,7/28/2025,7:54 PM,DP050,22.8,48,29,75,true,true,Rider,1277.94,33.68,3.9,Card,Pharmacy,Rainy,false
71,Mumbai,6/29/2025,12:03 AM,DP020,11.26,18,41,49,true,true,Rider,628.12,23.84,4.7,Card,Bakery,Rainy,false
72,Kolkata,12/6/2025,11:01 PM,DP016,24.11,5,12,35,false,false,Restaurant,1450.26,78.87,2.0,Cash,Grocery,Rainy,false
73,Jaipur,5/26/2025,12:40 AM,DP024,24.26,12,34,52,true,false,Restaurant,286.57,12.45,3.7,UPI,Dairy,Rainy,true
74,Chennai,6/27/2025,7:21 AM,DP032,20.88,29,28,59,true,true,Customer,292.73,35.76,4.4,Card,Grocery,Rainy,true
75,Bengaluru,2/17/2025,10:14 AM,DP035,4.23,28,16,43,true,true,Restaurant,199.8,33.35,1.2,UPI,Snacks,Clear,true
76,Kolkata,4/5/2025,2:12 AM,DP010,15.65,16,36,47,false,false,Restaurant,1108.74,24.45,1.2,UPI,Bakery,Rainy,true
77,Pune,11/19/2025,7:39 AM,DP031,17.31,4,31,68,false,false,Rider,1259.2,78.18,4.9,Cash,Dairy,Rainy,false
78,Chennai,12/2/2025,3:29 AM,DP039,2.61,6,11,63,true,true,Weather,1320.4,11.69,2.9,Card,Pharmacy,Clear,true
79,Chennai,4/7/2025,5:18 PM,DP009,6.55,33,15,38,true,true,Restaurant,923.4,12.7,2.4,UPI,Bakery,Rainy,true
80,Chennai,11/17/2025,12:07 PM,DP007,24.75,60,56,62,false,true,Customer,497.39,18.38,4.2,UPI,Snacks,Clear,false
81,Lucknow,6/11/2025,9:48 PM,DP025,26.76,20,46,45,true,true,Weather,1390.49,37.84,2.0,Cash,Grocery,Clear,false
82,Kolkata,12/30/2025,3:23 PM,DP041,8.83,41,27,68,true,false,Restaurant,1199.44,61.11,1.0,Cash,Dairy,Rainy,true
83,Chennai,4/29/2025,10:27 AM,DP047,3.11,52,32,86,false,true,Rider,568.68,61.1,2.3,UPI,Pharmacy,Rainy,true
84,Jaipur,5/15/2025,3:37 AM,DP025,25.92,54,22,79,true,true,Customer,209.97,51.84,2.3,Card,Grocery,Rainy,true
85,Mumbai,10/28/2025,9:14 AM,DP034,3.38,17,16,31,false,true,Weather,1434.41,43.31,2.1,Card,Grocery,Clear,false
86,Jaipur,4/29/2025,5:58 PM,DP019,2.73,2,57,87,true,false,Restaurant,1010.4,27.7,3.3,UPI,Pharmacy,Rainy,false
87,Lucknow,10/22/2025,2:12 PM,DP007,2.66,16,60,67,false,false,Rider,408.78,11.66,4.8,Cash,Pharmacy,Rainy,false
88,Bengaluru,10/28/2025,1:10 AM,DP005,19.88,59,49,23,true,false,Restaurant,463.87,51.95,2.5,Card,Snacks,Clear,false
89,Bengaluru,8/20/2025,11:42 PM,DP031,2.18,2,17,59,false,false,Weather,1274.43,20.64,1.1,UPI,Grocery,Rainy,true
90,Lucknow,12/17/2025,11:45 AM,DP011,24.02,41,41,29,false,true,Customer,738.46,55.27,3.0,Cash,Dairy,Rainy,true
91,Bengaluru,11/1/2025,9:14 AM,DP013,19.28,27,33,26,true,false,Customer,1283.84,16.39,1.7,Card,Pharmacy,Clear,true
92,Bengaluru,6/15/2025,3:06 PM,DP025,21.69,0,56,23,true,false,Restaurant,112.19,72.65,2.1,UPI,Snacks,Rainy,true
93,Kolkata,11/10/2025,6:21 PM,DP037,17.85,7,40,70,false,false,Weather,832.79,35.13,3.6,Cash,Bakery,Rainy,true
94,Mumbai,11/10/2025,3:01 PM,DP020,12.11,48,51,86,true,true,Rider,1362.15,22.54,3.7,Card,Grocery,Rainy,true
95,Mumbai,3/29/2025,11:34 PM,DP023,11.82,30,23,61,true,false,Restaurant,1151.89,64.0,1.7,Card,Dairy,Clear,true
96,Jaipur,6/6/2025,5:12 AM,DP023,19.12,47,56,26,false,false,Weather,210.63,45.99,2.4,UPI,Pharmacy,Rainy,true
97,Jaipur,3/30/2025,4:26 PM,DP048,3.11,55,29,35,false,false,Weather,1189.31,40.85,3.0,Cash,Grocery,Rainy,true
98,Pune,8/11/2025,12:16 AM,DP040,7.77,20,18,77,false,false,Customer,1378.37,49.53,2.0,Card,Snacks,Clear,false
99,Lucknow,7/20/2025,3:22 AM,DP005,14.0,45,27,19,true,true,Customer,1408.7,77.08,2.3,Cash,Snacks,Rainy,false
100,Chennai,2/11/2025,1:31 PM,DP015,18.31,58,26,25,true,true,Customer,1315.89,75.42,3.4,UPI,Pharmacy,Rainy,false
101,Mumbai,9/26/2025,6:26 PM,DP005,6.93,27,30,20,false,true,Rider,377.35,48.92,1.3,UPI,Snacks,Rainy,true
102,Jaipur,8/10/2025,3:58 PM,DP046,11.96,15,49,66,false,true,Customer,151.28,74.52,4.7,UPI,Pharmacy,Clear,true
103,Jaipur,2/26/2025,9:49 PM,DP044,25.75,53,50,30,true,true,Rider,1457.62,37.42,4.1,Card,Dairy,Rainy,false
104,Hyderabad,11/29/2025,11:00 PM,DP014,14.74,4,47,90,true,false,Customer,903.42,76.71,2.1,UPI,Bakery,Clear,true
105,Ahmedabad,5/10/2025,1:00 PM,DP015,8.62,52,52,23,true,false,Rider,507.14,45.98,1.2,UPI,Snacks,Clear,false
106,Pune,10/13/2025,1:22 AM,DP047,8.71,40,42,80,true,true,Rider,1143.82,56.63,4.0,UPI,Dairy,Clear,false
107,Chennai,7/11/2025,7:09 AM,DP024,10.19,38,45,48,true,false,Rider,620.83,68.4,2.4,Cash,Bakery,Clear,true
108,Kolkata,8/1/2025,4:30 AM,DP040,23.61,14,57,62,false,false,Restaurant,335.85,65.03,4.6,Card,Dairy,Rainy,false
109,Chennai,7/28/2025,9:26 AM,DP025,16.42,44,46,14,true,true,Weather,598.14,46.87,1.1,Cash,Bakery,Rainy,false
110,Ahmedabad,2/9/2025,4:54 AM,DP023,9.57,19,58,43,true,false,Rider,526.83,22.0,4.9,UPI,Bakery,Clear,false
111,Mumbai,9/7/2025,10:27 AM,DP002,9.91,20,43,58,false,false,Customer,1250.9,31.37,4.9,UPI,Bakery,Rainy,false
112,Kolkata,1/5/2025,12:08 AM,DP003,25.42,3,43,23,false,true,Restaurant,1428.08,71.69,4.3,Cash,Pharmacy,Clear,true
113,Jaipur,10/10/2025,2:00 AM,DP006,25.17,53,44,33,true,true,Rider,1405.98,69.93,4.2,Cash,Grocery,Clear,false
114,Hyderabad,12/9/2025,7:09 PM,DP016,18.91,6,45,75,false,false,Weather,151.58,51.48,3.3,UPI,Snacks,Rainy,true
115,Kolkata,6/4/2025,3:26 AM,DP045,10.85,58,57,47,true,false,Customer,284.29,18.0,4.2,Cash,Snacks,Rainy,false
116,Chennai,8/14/2025,11:07 AM,DP018,13.27,39,33,13,false,true,Rider,1328.24,32.27,3.4,UPI,Bakery,Rainy,true
117,Bengaluru,1/22/2025,8:36 AM,DP049,7.1,42,37,86,false,true,Weather,849.55,30.77,4.5,UPI,Dairy,Clear,true
118,Hyderabad,2/2/2025,7:51 PM,DP026,28.52,17,13,88,true,false,Weather,733.02,79.86,3.7,UPI,Bakery,Clear,false
119,Bengaluru,10/6/2025,2:32 PM,DP050,21.63,58,34,37,false,false,Customer,910.93,60.69,3.7,UPI,Pharmacy,Clear,false
120,Mumbai,2/21/2025,9:10 PM,DP026,20.73,48,16,66,true,true,Restaurant,710.86,36.02,3.4,UPI,Pharmacy,Clear,true
121,Mumbai,3/24/2025,12:49 AM,DP004,8.3,29,38,41,true,true,Restaurant,1326.56,23.77,3.3,Cash,Dairy,Rainy,false
122,Ahmedabad,2/19/2025,1:26 PM,DP024,8.01,26,44,77,false,false,Weather,1365.6,63.34,3.5,UPI,Dairy,Rainy,true
123,Jaipur,2/8/2025,3:54 PM,DP002,24.75,41,47,18,true,false,Weather,235.1,51.5,1.0,Cash,Pharmacy,Clear,true
124,Jaipur,7/14/2025,12:25 PM,DP013,9.33,25,30,79,true,false,Weather,883.34,60.47,3.9,Cash,Dairy,Rainy,true
125,Mumbai,8/15/2025,12:49 AM,DP046,9.06,11,54,72,true,true,Weather,1148.22,66.26,3.5,Cash,Bakery,Clear,false
126,Lucknow,1/10/2025,12:01 PM,DP042,1.45,24,47,55,false,true,Weather,476.08,66.5,2.3,Cash,Pharmacy,Clear,true
127,Kolkata,6/19/2025,10:39 AM,DP028,19.72,13,35,46,false,false,Customer,717.87,75.06,3.6,UPI,Snacks,Rainy,false
128,Jaipur,7/22/2025,4:54 AM,DP018,9.95,43,10,65,false,false,Customer,150.48,27.07,1.6,UPI,Pharmacy,Clear,true
129,Hyderabad,4/20/2025,4:03 AM,DP005,28.22,29,18,73,false,false,Weather,965.61,61.96,1.8,Cash,Snacks,Rainy,false
130,Kolkata,2/23/2025,1:39 AM,DP040,18.16,6,36,76,true,true,Weather,411.02,66.91,1.7,UPI,Pharmacy,Clear,false
131,Bengaluru,1/22/2025,4:47 PM,DP031,1.18,17,44,66,true,true,Weather,364.45,64.75,4.0,Cash,Snacks,Clear,true
132,Hyderabad,11/2/2025,10:24 AM,DP044,23.55,27,47,10,false,true,Rider,1058.71,31.18,3.2,UPI,Snacks,Rainy,true
133,Mumbai,10/13/2025,2:18 PM,DP009,14.2,21,32,71,false,true,Restaurant,661.82,37.44,1.1,Card,Grocery,Clear,true
134,Pune,4/17/2025,2:30 AM,DP030,17.46,31,37,71,false,false,Restaurant,815.41,60.28,2.4,Card,Grocery,Rainy,true
135,Ahmedabad,4/21/2025,11:40 AM,DP032,9.89,18,24,22,true,false,Customer,784.09,73.79,1.8,UPI,Snacks,Clear,true
136,Chennai,11/17/2025,8:02 PM,DP016,10.22,36,45,45,true,true,Rider,1406.62,61.17,3.7,UPI,Pharmacy,Rainy,true
137,Pune,5/15/2025,7:06 AM,DP010,29.28,26,47,12,false,true,Weather,1291.76,12.23,1.0,Card,Pharmacy,Rainy,true
138,Hyderabad,7/7/2025,10:52 AM,DP047,21.77,47,20,63,true,true,Customer,904.26,25.7,2.2,Card,Snacks,Clear,false
139,Hyderabad,9/28/2025,2:38 AM,DP025,19.46,50,44,87,false,true,Restaurant,692.13,43.14,4.0,Card,Grocery,Clear,true
140,Lucknow,4/8/2025,4:59 PM,DP014,21.06,3,23,29,true,false,Restaurant,969.54,57.92,1.5,Card,Snacks,Clear,false
141,Jaipur,11/9/2025,5:32 PM,DP016,21.99,1,42,55,true,false,Weather,776.32,10.35,3.3,Cash,Dairy,Clear,false
142,Pune,4/20/2025,1:51 AM,DP047,15.67,38,52,64,true,false,Customer,1482.57,59.72,4.3,Cash,Dairy,Clear,false
143,Jaipur,10/27/2025,6:10 AM,DP036,16.32,21,15,52,false,true,Rider,546.59,16.45,3.7,Cash,Bakery,Rainy,false
144,Kolkata,4/2/2025,3:34 AM,DP049,15.27,49,60,30,true,false,Customer,1220.09,77.45,3.0,UPI,Grocery,Rainy,false
145,Pune,7/17/2025,6:45 PM,DP017,5.66,25,53,86,false,false,Customer,1209.1,62.93,2.8,Card,Snacks,Rainy,true
146,Kolkata,2/22/2025,4:37 AM,DP019,20.71,46,44,58,true,true,Weather,1174.28,38.24,3.9,UPI,Pharmacy,Rainy,true
147,Mumbai,9/23/2025,10:29 PM,DP027,1.99,57,39,24,false,false,Customer,1467.72,69.4,2.0,UPI,Snacks,Clear,false
148,Mumbai,4/6/2025,3:40 PM,DP040,14.9,37,40,70,true,true,Customer,708.39,32.57,4.4,Card,Dairy,Clear,false
149,Jaipur,6/16/2025,2:52 AM,DP049,23.24,19,39,50,true,false,Customer,295.3,30.35,1.9,Cash,Bakery,Clear,false
150,Jaipur,4/26/2025,5:24 AM,DP009,5.69,33,24,65,false,false,Weather,978.12,17.42,3.0,Cash,Bakery,Rainy,true
151,Ahmedabad,6/2/2025,4:33 PM,DP006,23.92,59,16,10,false,true,Rider,290.84,29.92,2.0,UPI,Dairy,Clear,false
152,Kolkata,3/16/2025,8:59 AM,DP002,23.1,60,31,71,true,false,Restaurant,413.33,31.05,3.3,Cash,Bakery,Clear,true
153,Mumbai,9/25/2025,4:44 PM,DP016,23.49,43,48,69,true,true,Weather,310.51,28.55,1.9,Card,Dairy,Rainy,false
154,Hyderabad,12/29/2025,7:46 AM,DP005,25.32,8,53,78,true,true,Weather,420.08,22.61,2.2,Cash,Pharmacy,Rainy,false
155,Pune,5/18/2025,2:28 PM,DP049,6.71,19,25,80,false,false,Rider,824.93,71.84,2.3,Cash,Snacks,Clear,false
156,Chennai,10/2/2025,8:10 AM,DP022,9.9,60,15,45,false,false,Rider,985.18,58.72,4.1,UPI,Grocery,Clear,true
157,Hyderabad,5/12/2025,12:52 PM,DP039,5.08,38,26,73,false,false,Weather,1347.87,18.1,2.1,UPI,Dairy,Clear,false
158,Bengaluru,6/14/2025,2:33 AM,DP005,2.64,43,24,58,false,false,Weather,521.26,79.17,1.0,UPI,Bakery,Rainy,true
159,Chennai,11/15/2025,2:10 PM,DP037,5.48,50,35,76,false,false,Customer,1108.94,10.82,2.7,Cash,Bakery,Rainy,false
160,Chennai,9/12/2025,10:00 PM,DP001,12.72,30,31,70,true,false,Weather,1437.33,30.12,1.9,Card,Pharmacy,Rainy,false
161,Kolkata,2/9/2025,3:48 PM,DP033,14.67,0,58,60,false,false,Weather,186.96,26.93,1.5,UPI,Snacks,Rainy,false
162,Lucknow,8/9/2025,12:03 AM,DP029,5.89,38,58,66,true,true,Rider,772.25,23.86,1.7,Card,Pharmacy,Clear,false
163,Lucknow,11/7/2025,3:06 PM,DP035,6.94,40,18,71,false,false,Customer,1366.19,69.1,1.1,Cash,Pharmacy,Rainy,false
164,Chennai,3/2/2025,7:11 PM,DP039,13.72,8,31,71,true,false,Weather,1471.37,59.68,3.7,UPI,Bakery,Rainy,true
165,Lucknow,9/13/2025,5:33 PM,DP009,29.85,39,33,76,false,false,Restaurant,1063.15,16.88,3.6,UPI,Grocery,Rainy,true
166,Kolkata,10/13/2025,12:14 PM,DP028,27.78,24,29,76,false,true,Weather,1392.49,53.49,2.9,Card,Pharmacy,Rainy,false
167,Ahmedabad,4/19/2025,7:59 PM,DP038,21.9,4,31,22,false,true,Weather,1498.21,11.07,3.4,UPI,Grocery,Clear,true
168,Chennai,4/20/2025,3:01 PM,DP039,24.73,36,57,40,false,true,Restaurant,1414.72,72.66,1.8,Cash,Snacks,Rainy,true
169,Delhi,3/20/2025,10:46 AM,DP017,12.28,32,39,70,true,true,Weather,1447.87,43.37,2.8,UPI,Pharmacy,Rainy,true
170,Mumbai,12/22/2025,7:04 PM,DP011,27.26,43,14,11,false,false,Weather,411.04,74.11,4.5,Card,Grocery,Rainy,true
171,Bengaluru,2/9/2025,3:47 PM,DP008,18.4,11,54,37,true,false,Customer,129.26,54.77,1.1,Cash,Dairy,Rainy,true
172,Kolkata,1/4/2025,8:37 AM,DP024,4.38,23,39,56,false,false,Restaurant,643.29,32.59,1.8,UPI,Dairy,Rainy,true
173,Pune,7/31/2025,7:15 AM,DP042,1.14,2,47,36,false,true,Rider,585.8,44.05,2.0,Card,Grocery,Rainy,true
174,Jaipur,11/10/2025,11:02 AM,DP017,28.61,22,10,45,false,false,Restaurant,316.1,72.58,2.2,Card,Grocery,Rainy,false
175,Ahmedabad,2/8/2025,3:24 PM,DP035,15.35,50,48,79,false,true,Rider,697.47,29.38,3.7,Cash,Bakery,Rainy,false
176,Mumbai,8/14/2025,10:38 AM,DP046,9.7,8,38,70,false,true,Restaurant,1112.49,34.68,3.9,Cash,Snacks,Clear,true
177,Lucknow,5/29/2025,10:56 AM,DP012,16.08,30,56,65,false,true,Weather,1154.63,48.3,3.4,Card,Bakery,Clear,false
178,Jaipur,2/13/2025,11:43 PM,DP050,2.95,25,27,27,true,true,Rider,1468.53,76.73,3.1,Cash,Bakery,Rainy,true
179,Mumbai,7/26/2025,12:45 AM,DP031,7.19,44,36,76,false,false,Customer,1246.87,12.59,1.2,Cash,Snacks,Clear,true
180,Pune,7/20/2025,6:08 PM,DP034,2.21,40,44,79,false,true,Customer,697.53,23.9,1.9,Card,Grocery,Clear,true
181,Delhi,9/18/2025,2:02 AM,DP037,27.07,34,31,67,true,false,Customer,266.14,65.88,4.4,UPI,Snacks,Rainy,true
182,Bengaluru,8/25/2025,10:48 AM,DP039,20.02,15,15,73,true,false,Restaurant,704.79,19.31,2.0,UPI,Grocery,Clear,false
183,Pune,10/29/2025,5:02 AM,DP019,24.54,37,56,21,false,false,Restaurant,1347.53,26.08,1.8,Cash,Pharmacy,Clear,true
184,Bengaluru,5/20/2025,12:29 PM,DP038,12.64,2,37,84,false,true,Weather,294.96,65.45,2.2,Card,Bakery,Rainy,false
185,Jaipur,5/9/2025,5:11 PM,DP044,1.54,16,15,19,false,false,Rider,714.35,14.84,4.2,Card,Bakery,Rainy,true
186,Chennai,5/6/2025,3:41 PM,DP042,6.65,46,26,55,false,true,Customer,1407.18,44.52,4.7,Card,Grocery,Clear,true
187,Kolkata,4/12/2025,5:42 PM,DP030,28.86,40,49,43,true,true,Weather,399.79,62.63,3.9,Card,Pharmacy,Clear,false
188,Ahmedabad,10/16/2025,6:29 AM,DP037,27.6,57,59,61,false,false,Customer,1054.16,55.34,4.3,Cash,Dairy,Rainy,true
189,Hyderabad,1/4/2025,10:06 AM,DP022,10.1,57,57,26,true,true,Customer,526.55,73.8,4.9,UPI,Snacks,Rainy,true
